source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
99,0,SINAC20_EDADGEST,No Especificado,0,None,2020-01-01,2023-12-31,
0,0,SINAC20_PRODEMB,NO ESPECIFICADO,0,None,2020-01-01,2023-12-31,
99,0,SINAC20_TOTCONS,No Especificado,0,None,2020-01-01,2023-12-31,
0,0,SINAC20_TRIMCONS,NO RECIBIÓ,45880561,LOINC,2020-01-01,2023-12-31,
1,0,SINAC20_TRIMCONS,PRIMER TRIMESTRE,45880554,LOINC,2020-01-01,2023-12-31,
2,0,SINAC20_TRIMCONS,SEGUNDO TRIMESTRE,45879078,LOINC,2020-01-01,2023-12-31,
3,0,SINAC20_TRIMCONS,TERCER TRIMESTRE,45885074,LOINC,2020-01-01,2023-12-31,
8,0,SINAC20_TRIMCONS,NO ESPECIFICADO,0,None,2020-01-01,2023-12-31,
9,0,SINAC20_TRIMCONS,SE IGNORA,0,None,2020-01-01,2023-12-31,
0,0,SINAC20_RESEXT,NO ESPECIFICADO,0,None,2020-01-01,2023-12-31,
1,0,SINAC20_RESEXT,SI,0,None,2020-01-01,2023-12-31,
2,0,SINAC20_RESEXT,NO,4075636,SNOMED,2020-01-01,2023-12-31,
8,0,SINAC20_RESEXT,NO APLICA,0,None,2020-01-01,2023-12-31,
9,0,SINAC20_RESEXT,SE IGNORA,0,None,2020-01-01,2023-12-31,
88,0,SINAC20_RESEXT,Not in catalogue SI_NO; treated as residence unknown (D-057),0,None,2020-01-01,2023-12-31,
00,0,SINAC20_ENTRES,NO ESPECIFICADO,0,None,2020-01-01,2023-12-31,
88,0,SINAC20_ENTRES,NO APLICA,0,None,2020-01-01,2023-12-31,
99,0,SINAC20_ENTRES,SE IGNORA,0,None,2020-01-01,2023-12-31,
888,0,SINAC20_EDAD,No Especificado,0,None,2020-01-01,2023-12-31,
999,0,SINAC20_EDAD,Se Ignora,0,None,2020-01-01,2023-12-31,
09/09/9999,0,SINAC20_FECHANACMAD,fecha no especificada,0,None,2020-01-01,2023-12-31,
